Size (KB),Bandwidth (GB/s)
2,184.574722
4,178.127792
8,180.520065
12,173.026093
16,185.009521
24,195.559128
32,192.155121
48,180.005829
64,183.668259
96,192.329727
128,197.867767
192,201.169815
256,203.011749
512,198.841080
600,197.469574
768,202.713867
1024,199.882126
1536,201.934845
2048,192.491531
3072,189.786179
4096,196.622253
5120,182.581482
6144,198.427032
8192,197.186447
10240,188.697617
12288,185.851440
16384,179.988159
24567,168.491913
32768,157.360840
65536,152.913834
98304,140.767624
131072,134.612106
262144,130.397491
393216,119.086708
524288,124.176865
1048576,121.305344
1572864,120.990402
2097152,119.595329
3145728,118.170685
